순위,닉네임,레벨,직업,길드,아이템 환산,헥사 환산
1,도적,288,듀얼블레이드,지존,"117,284","117,031"
2,아델,290,아델,리더,"116,615","116,456"
3,노노,292,"아크메이지(불,독)",반달,"116,356","116,356"
4,감팡검,293,아델,허니,"115,960","115,960"
5,진격캐넌,293,캐논슈터,스타,"115,546","115,546"
6,쯔단,293,캐논슈터,루루,"115,540","115,540"
7,후니,292,나이트로드,사랑,"114,543","114,543"
8,세계,294,윈드브레이커,디즈니,"114,532","114,532"
9,건물주,291,팬텀,반달,"114,268","114,268"
10,꾸장,295,나이트로드,디즈니,"113,959","113,959"
11,동정녀,293,나이트워커,지존,"113,764","113,764"
12,패릿,292,아델,사랑,"113,520","113,520"
13,공주,295,비숍,욘석들,"113,431","113,431"
14,정슈붕,290,히어로,스타,"113,339","113,314"
15,맑음,293,제논,지존,"113,141","113,141"
16,아크,290,아크,루루,"113,497","113,085"
17,알티,291,카데나,리더,"113,006","113,006"
18,카키,294,팬텀,사랑,"112,947","112,947"
19,착한아이,290,에반,BOSS,"112,772","112,772"
20,뚱달콤,291,아란,BOSS,"112,798","112,739"
21,초코빵내꺼야,295,카데나,디즈니,"112,610","112,610"
22,서루운,290,히어로,Easter,"112,527","112,527"
23,팀에이컴퍼니,293,다크나이트,TheQuBic,"112,461","112,461"
24,윈드,291,윈드브레이커,사랑,"112,422","112,422"
25,치어,291,듀얼블레이드,리더,"112,617","112,277"
26,유진,290,팔라딘,욘석들,"112,271","112,271"
27,고딩,292,히어로,지존,"112,307","112,268"
28,수호,290,아크,지존,"113,132","112,212"
29,쿠로미,290,엔젤릭버스터,지존,"112,555","112,085"
30,조선우,290,데몬어벤져,사랑,"112,007","112,007"
31,스프,290,나이트로드,뉴프랜,"112,688","111,956"
32,종효,293,나이트로드,BOSS,"111,936","111,936"
33,냉은,293,은월,반달,"112,236","111,901"
34,동글,292,비숍,반달,"111,999","111,833"
35,츠르,290,히어로,하트,"111,779","111,520"
36,비숍,293,비숍,디즈니,"111,506","111,506"
37,간디,291,듀얼블레이드,아트,"111,479","111,479"
38,개화,285,메르세데스,리더,"114,118","111,467"
39,이상,293,듀얼블레이드,반달,"111,367","111,367"
40,버텨,287,비숍,이별,"111,411","111,325"
41,든기,294,팔라딘,지존,"111,321","111,321"
42,나꼬생각,291,호영,악동,"111,387","111,288"
43,휴씨엔버,294,엔젤릭버스터,szsz,"111,343","111,222"
44,차트,291,나이트로드,반달,"111,220","111,220"
45,Rudolf,291,다크나이트,지존,"111,187","111,187"
46,츠나,287,"아크메이지(불,독)",MOON,"111,129","111,129"
47,드팰,293,히어로,달치즈,"111,102","111,102"
48,반로,290,나이트워커,심쿵,"111,460","111,069"
49,에브,292,"아크메이지(불,독)",지존,"111,046","111,046"
50,여명,291,나이트워커,지존,"111,908","110,987"
51,헐다운,292,루미너스,뿔뿔,"111,253","110,957"
52,최강,291,나이트로드,새벽,"110,866","110,866"
53,겨울,293,"아크메이지(불,독)",사랑,"110,943","110,832"
54,순망,291,섀도어,피너,"110,824","110,824"
55,헬롱,291,호영,BOSS,"110,799","110,799"
56,애인,292,소울마스터,디즈니,"110,739","110,739"
57,응급,291,"아크메이지(썬,콜)",BOSS,"110,687","110,687"
58,이빵,292,히어로,디즈니,"110,562","110,562"
59,천원,292,데몬어벤져,루루,"110,569","110,527"
60,웨스턴총낭이,292,캐논슈터,지존,"110,507","110,507"
61,성배,294,비숍,허니,"110,475","110,475"
62,토르,292,팔라딘,아잉2,"111,612","110,428"
63,럭표도,291,나이트워커,피너,"110,672","110,392"
64,루그,293,바이퍼,악마,"110,389","110,389"
65,격류,290,섀도어,아깽이,"110,253","110,253"
66,글죠,295,섀도어,지존,"110,252","110,252"
67,페이커,291,카인,스타,"110,587","110,103"
68,으찌,293,제로,반달,"110,099","110,099"
69,주교,291,나이트로드,Bless,"110,308","110,081"
70,남색,286,나이트로드,스타,"110,670","110,069"
71,샌직,293,윈드브레이커,욘석들,"110,313","110,020"
